MSMB,FBP2,LINC00992,NLRP4,PRSS8,CPA6,CAMP,SDR16C5,CCDC85A,KCNQ1OT1,VWCE,ABCA9,CFAP91,SPTBN2,KCNJ2,WNT9A,CASP5,TMEM132B,ACOD1,MYOCD,CLASS
1.327583853,1.651880606,1.681027264,2.851590961,1.205859319,1.06373251,2.552415674,1.682789599,2.306183463,2.354825282,5.536425538,1.702602114,2.34795756,2.110275623,2.086797813,1.950056586,2.297134294,2.50825661,1.299188447,2.08073926,0
0.991928298,1.54874647,1.246079708,4.468964613,1.225489192,1.190516029,2.738828286,1.764216068,2.099529033,1.886603082,2.496746863,2.362708477,2.367313314,1.941576599,4.25201566,2.123776618,2.314893087,1.845842461,1.119927751,1.614589203,0
1.087235514,1.666017152,1.531863257,1.635227867,1.266041657,1.142934621,7.124218557,1.850098118,2.278045232,2.332287946,2.247683944,1.728153191,2.357199946,2.125180443,3.423186945,2.139469703,2.391257913,3.417744688,1.355340653,1.745866216,0
1.091947644,1.74053271,1.413721284,1.312726721,1.224360964,1.352456837,7.47196627,4.973749446,2.019665041,2.184246838,2.285019264,2.194389733,1.892041582,1.780456935,4.185934901,2.037263839,1.889583632,2.070655185,1.676287786,1.684401409,0
1.383373676,1.712814116,4.455710437,3.268400151,1.190735935,1.337937772,3.556339261,1.614960856,2.249141324,2.202049015,3.886322371,2.823551994,2.224167006,1.902255698,2.62040237,2.152471309,2.194484062,5.377446837,1.08899713,6.896948301,0
1.015224962,2.490794294,0.981953608,1.126719244,1.143485781,1.326866987,5.619197514,1.300809639,2.234618035,2.350674607,2.377081729,1.483558232,2.103381621,2.229178408,7.114176188,1.89147492,3.257611825,1.927419239,1.590002652,5.696932305,0
1.252769131,1.95916391,1.229787008,3.607311372,1.345451394,1.005443005,2.619709325,6.350333104,2.012364388,1.929286289,2.302199528,2.105883777,2.410744069,1.919635682,4.019579224,2.348932906,1.877128411,7.346537613,1.066714525,1.469484257,0
1.37686332,1.832953091,1.291709531,8.573997443,1.406003013,1.259973995,7.13285836,2.099605134,2.673699542,2.51662272,2.84385868,2.437874985,2.390651807,2.18625958,4.18798489,1.601155189,2.43674137,3.039187533,1.557320267,1.429035894,0
1.026861886,3.506969263,2.873729459,3.405270335,1.32115859,1.692170757,5.045024845,5.87519167,2.152860977,2.264365272,2.620584205,2.828941159,2.338185589,2.095996279,2.934690242,2.736369705,1.802848732,1.559500437,1.334018387,1.61138537,0
1.468961656,1.982795948,1.36016173,1.871284665,1.256610154,1.397722373,4.297438195,1.430982656,2.322882096,2.446201945,2.369117476,1.914739762,2.085053855,1.976623497,4.388231374,2.378510317,2.417624571,2.519992181,1.500232111,1.192765939,0
1.344809988,5.76273098,1.62455647,2.407560913,1.290958312,1.44498007,3.360772752,2.759109584,2.196095623,2.095210199,2.90158668,2.537254854,2.362541327,2.118163966,3.760731271,2.232419113,2.293600413,8.600971592,1.363168284,1.628154394,0
1.271041655,2.000015075,1.456144416,1.083338045,1.260016777,1.345038257,4.114561294,1.35546374,2.178074287,2.280164771,2.47762094,2.165376503,2.526385994,2.372209066,1.777895249,2.469260699,1.875008265,2.968721029,1.11666342,2.067985559,0
1.004229056,1.593577306,1.443161578,1.139570588,1.169505328,1.424401961,3.252496547,1.826000449,2.071037766,2.292464631,3.039515336,1.763859253,2.289081462,2.148285828,4.880105062,2.741143473,3.151094447,1.927871793,1.57309928,2.060847358,0
1.267208397,1.794324564,1.352789653,1.508251713,1.382828517,1.441410248,3.428998404,1.499281177,2.12427387,2.465073378,3.548473618,2.633271647,2.353056509,1.980134228,5.31685928,2.406450809,2.904571627,1.826012524,1.507177368,3.701249712,0
1.301721968,3.117084484,1.440000136,3.94918541,1.401282323,1.506245126,6.89134227,2.199113775,2.495528518,2.424825227,2.674573684,1.977086001,2.685604829,2.283596893,7.025660142,2.42196161,4.35607674,2.696327079,2.959432138,1.399630857,0
1.177109222,1.874334468,1.136129289,2.867195874,1.417124031,1.317816434,4.817120928,1.737013816,2.333333974,2.060057996,2.317947562,1.858818666,2.36574759,1.818985381,6.319171726,2.494013159,2.787897783,1.847904191,1.546656642,1.845487448,0
1.445103094,4.923012822,1.144297479,1.365095786,1.253143606,1.318774276,2.609308761,5.744309191,2.104485917,2.044590667,3.005983504,2.85717588,2.499684551,2.077740468,5.360765425,1.984167329,2.73943408,1.920875469,1.458823188,1.905593198,0
1.294433162,1.527542675,1.211164376,2.189516628,1.381665049,1.528594905,2.52173232,1.593509791,2.139798566,2.68066598,2.992497318,2.114129032,2.63968618,2.108136588,1.928545087,2.177551225,2.61737998,2.039184591,1.294066905,7.37837636,0
1.334157082,1.967624005,1.359040998,0.882487487,1.271162843,1.622498711,5.499183274,2.586973432,2.318037249,2.046954022,2.750723959,2.080687992,2.477291184,2.224725485,4.37020478,2.365209499,2.58417664,4.11979285,1.815254915,1.628447563,0
1.381930807,1.910868938,1.650967466,1.958686097,1.696654039,1.118754755,2.701066137,9.149190385,2.857863885,2.723602756,2.920558823,2.235789609,3.320029647,2.399971874,6.123242667,1.969662103,2.906703132,2.258117219,1.735575128,2.162903319,0
1.608791022,1.710089563,6.978834964,2.032150302,1.330348959,1.014038883,2.713103855,1.418956267,2.740456791,2.442602598,2.649493449,1.945628069,2.525748428,2.203327516,3.631718878,2.00070579,2.798887433,2.451955387,1.419688149,1.543846518,0
1.276693754,8.373994938,5.833051863,7.993834712,1.395575281,2.085400507,9.242948483,1.32963096,2.436557273,2.460271132,2.71990244,2.528344151,2.342909749,1.978865432,3.167751418,2.437926932,2.367518418,6.639453597,1.498837571,1.595047242,0
1.459214859,1.596128239,1.14725837,1.215219159,1.282064659,1.180334651,1.956327379,1.549459029,2.021330937,2.168283578,2.692546628,2.746660274,2.698652719,2.133447859,4.632701326,4.324054562,3.246699717,1.92518478,2.050938365,7.835492156,0
1.437266577,1.60360998,1.366098057,2.382972095,1.391577735,1.170892459,1.781108298,1.488254571,2.012987001,2.247268453,2.584788958,2.235462294,2.585467314,2.163811386,2.606848023,1.649133271,2.120407428,2.367803741,1.116877821,1.551177044,0
1.326311372,1.652835866,1.174054604,2.011975876,1.290784141,1.264452509,3.169758148,1.648658699,2.445716759,2.571557416,2.889481155,2.388510654,2.594141122,2.303718519,7.896774788,2.494837885,2.797927871,1.933516247,1.871733888,1.707420494,0
1.251695094,3.623565754,1.399624975,8.273843362,1.411395101,1.50392229,5.220938876,1.73012771,1.963493672,1.892022572,2.419759173,2.498617431,2.314487769,2.020327166,5.679895463,2.38568693,2.346084682,5.579661785,1.555184696,1.631251581,0
1.147369761,1.922858007,1.333567257,1.385103969,1.250804205,0.987684262,6.028337203,1.270284274,1.824824367,2.296820855,4.170376193,2.788132451,2.612925628,1.943656875,4.221531829,3.023984437,3.048751949,1.82365136,1.534583463,4.118179657,0
1.360034287,1.743781512,1.392972579,1.628267377,1.404398996,1.068674791,8.322664678,1.539101707,1.890977401,2.033145956,2.570059582,2.069895342,2.754894402,2.051998607,5.025781359,1.763064049,3.481278959,1.994333604,1.610694697,1.457815216,0
1.037833049,1.522288959,1.245712379,1.304992488,1.360666093,1.308758336,2.474853613,1.997367028,2.182453705,2.496172133,2.865561638,1.850265469,2.215872751,1.873939193,4.365522674,2.184591896,2.501758449,2.069674505,1.17995593,1.677684725,0
1.371362861,1.577443272,1.470665716,1.345860395,1.065886151,1.294829797,4.88098955,1.848530526,2.059528492,2.028346901,2.767493682,2.407622483,2.220577332,1.75471866,5.476917399,2.996560676,2.764476001,1.911411489,1.406463872,1.855017898,1
1.17119041,1.802755103,1.419744294,1.022548196,1.414513449,1.282125136,6.750414183,4.021331057,2.206013365,2.284541118,2.357031249,2.071462955,1.935889725,2.013613236,8.227024853,2.504901148,7.141815103,1.806903322,8.21796366,1.496537852,1
1.104662941,1.863866196,1.267690162,1.451220683,1.286501052,1.218823123,3.728618624,1.868230646,2.076877959,2.42360153,2.572091468,1.932733646,2.145440761,2.002698773,6.231786043,2.48707987,2.776060946,2.060333146,1.192854461,1.714824365,1
1.088069779,1.921846787,1.623858232,1.428525194,1.316514247,1.339789432,8.25647127,1.824017096,2.354908993,2.204462222,3.501899778,2.444245508,2.392430793,2.396355209,4.275168272,4.292964509,3.105086174,2.372908058,1.427069829,5.374312428,1
1.127048857,1.458137005,1.856204238,1.296365766,1.235206313,1.07798634,2.486781204,2.395898616,1.873569695,2.050097003,2.86578617,2.361965777,2.767202098,2.278142921,4.591473045,2.831628153,3.040134529,2.192098975,1.140429113,4.244084863,1
1.162955632,1.538214329,1.290123004,1.148538958,1.329700178,1.425076687,4.615851917,1.925370388,2.091928734,2.218268939,2.742942026,2.947266369,2.355730006,1.987537553,4.484654481,2.305787657,3.247461902,2.049492707,1.604460342,1.642344368,1
1.120551534,1.618692331,1.346103511,1.723232651,1.306378348,1.043529304,2.991010648,1.626264221,2.108859476,2.438001413,3.066555224,2.000199093,2.21303727,1.922718626,6.189749971,3.245745821,3.003496879,1.995103227,1.694067033,2.340374179,1
0.82146292,5.968969173,1.603395406,9.430050335,1.396935951,1.286427801,2.195663478,3.993846398,2.183531126,2.238074066,3.76491719,2.51554177,2.529414099,1.971925897,4.20298469,2.934039203,2.988188953,2.394020441,1.565357262,1.644916165,1
0.948599219,1.807002734,1.336467024,1.189852165,1.196342597,1.25670688,2.230636109,1.559522775,2.50319255,2.185473902,2.597051647,3.13531094,2.430833979,1.878522896,3.177433928,2.384198473,2.290696104,1.934735443,1.558199654,1.650622397,1
1.121607605,1.791866585,1.428548102,1.219735529,1.33005459,1.184736123,3.083938263,1.452435874,2.105290594,2.379205103,2.635393681,1.774147798,4.427642692,1.902015906,7.161112228,2.339267417,2.837081423,1.667767186,1.376865534,1.795241673,1
1.041504402,2.168514009,1.647527037,1.190720323,1.120403394,1.215034899,3.514770113,1.42343059,2.091245459,2.242560308,3.063091779,3.14271268,2.245530288,2.273318299,3.565958119,3.097074542,2.491576634,1.980255377,1.481789898,7.934240884,1
1.240532792,1.443342428,1.090057814,8.294049589,1.325381884,1.224880246,2.501803729,5.505336465,2.073244633,2.297057989,2.15448483,2.38989771,2.333757263,1.966903695,3.582510379,2.048414337,2.268985962,5.43174072,1.258368766,1.736729462,1
0.92783115,1.367426462,1.198033228,1.12314001,1.557152667,1.516105742,6.679730685,1.479269657,2.200346041,2.010391633,3.200384802,1.988326891,2.292517588,2.094621401,3.349833833,2.462806743,2.224669153,1.847501207,1.417504975,1.475053619,1
