,Gene-name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000279869.1,CTD-2026A21.1,14.3579007799142,-23.7910838734137,3.00461436132898,-7.72348164612691,1.13194455364364e-14,2.36364215606834e-10
ENSG00000263639.4,MSMB,77.9418687042174,-9.22606176030806,1.66802816263737,-5.1804051957045,2.2140443210537e-07,0.00103406940014813
ENSG00000130957.4,FBP2,59.0185399800931,-6.31796709635685,1.15924469336065,-4.9454331162276,7.5974753163112e-07,0.0023656005643221
ENSG00000248663.5,LINC00992,5.78597829945692,-5.91975415139707,1.22152202589655,-4.36730082495366,1.25791418463883e-05,0.0164026947987524
ENSG00000160505.14,NLRP4,745.368952604175,-5.72008161278715,1.09096464429624,-4.70691845023052,2.51489453999945e-06,0.00542114536110804
ENSG00000240086.4,RP11-657O9.1/lnc-KY-2,4.81780757702872,-5.66569305238954,1.21139414531417,-4.19408750821716,2.7397220907666e-05,0.0274197257676973
ENSG00000166589.11,CDH16,19.1986504105535,-5.59203120911627,1.21862826127033,-4.10874371475417,3.97817244290864e-05,0.0359613956024609
ENSG00000181143.14,MUC16,787.33504111235,-5.53114016484708,1.02983713743832,-4.8028372497329,1.56433031606741e-06,0.00391744277333113
ENSG00000162366.6,PDZK1IP1,90.792134535917,-5.36692281160271,0.974039844755933,-4.90937084078006,9.13690535126931e-07,0.0025604349865862
ENSG00000260271.1,RP1-45N11.1/lnc-GJA10-4,26.6048771632153,-5.18857758573004,1.13228332017574,-4.06574706497976,4.78788414543676e-05,0.0372696881687707
ENSG00000052344.14,PRSS8,64.708918528684,-5.09780205710348,0.907234324352856,-4.97424087246978,6.55038198873671e-07,0.00229451693087961
ENSG00000249307.4,LINC01088,35.6020556435121,-5.055773709094,1.09869840758066,-4.0691546271908,4.71840264185702e-05,0.0372696881687707
ENSG00000165078.10,CPA6,87.0697290749343,-5.02727162430278,0.966006509708203,-4.59859388074376,4.25352032039728e-06,0.00851402856703521
ENSG00000196188.9,CTSE,105.99099702314,-4.93215209651237,1.08346556126429,-4.01226605803667,6.01386654779741e-05,0.0395941652143892
ENSG00000188992.10,LIPI,46.245507208224,-4.87497243029774,1.06985659673109,-4.00985743641306,6.07554189137043e-05,0.0395941652143892
ENSG00000106541.10,AGR2,42.4518952464749,-4.80876556188122,1.01310033537665,-4.16914832064576,3.05739983000939e-05,0.0285591718121177
ENSG00000254329.1,IGHVII-60-1,3.85759350835692,-4.77894762816714,1.02992587339908,-4.07208687196662,4.6593793990843e-05,0.0372696881687707
ENSG00000164047.4,CAMP,1352.93048458182,-4.54195324463257,0.733250397951175,-5.39645563874082,6.79702070940796e-08,0.000380945822679478
ENSG00000170786.11,SDR16C5,69.725461628517,-4.31083868074625,0.854462031641308,-4.36044966631157,1.29795437079715e-05,0.0164026947987524
ENSG00000184012.10,TMPRSS2,26.0606579420527,-4.31056932213151,0.777969918260848,-4.78883467687289,1.67752607786367e-06,0.00391744277333113
ENSG00000232884.6,AF127936.3/lnc-SAMSN1-2,46.5705327604196,-4.27487893908261,0.853148579764038,-4.32501328209812,1.52522672260395e-05,0.0178089285198043
ENSG00000048540.13,LMO3,46.703285275509,-4.16453412532065,0.785932377017926,-4.55450650716608,5.25086994959208e-06,0.00865559579984817
ENSG00000179178.9,TMEM125,22.1476211448531,-4.15848499557501,0.784033265820694,-4.55782318347735,5.16865210358829e-06,0.00865559579984817
ENSG00000230400.1,RP11-359G22.2/LINC01747,34.2610045169748,-4.08623029444678,0.878003878738361,-3.98771620403071,6.67123990854309e-05,0.042488217262978
ENSG00000055813.5,CCDC85A,15.389976455609,-4.07676800954944,0.85473429385308,-4.08520874224994,4.4037208810644e-05,0.0372696881687707
ENSG00000250831.1,CTD-2232E5.2/lnc-MEF2C-4,11.9883824184296,-3.75908359745685,0.786932864782836,-4.03348714929167,5.49551873717617e-05,0.0395941652143892
ENSG00000117472.8,TSPAN1,161.018067438468,-3.55782587455457,0.683023876234178,-4.35244795679049,1.34625836052994e-05,0.0164026947987524
ENSG00000161905.11,ALOX15,98.5878105122722,-3.41963184942767,0.712344110787682,-3.97930130466475,6.91180984674748e-05,0.0430421438523121
ENSG00000269821.1,KCNQ1OT1,130.460805359572,2.20707993157024,0.360369449032902,4.50115828609583,6.75841509905919e-06,0.00996795085899661
ENSG00000167992.11,VWCE,243.944840181227,2.60086207253252,0.50244299231039,4.01212098364227,6.0175644921984e-05,0.0395941652143892
ENSG00000154258.15,ABCA9,260.913130446313,2.97247565380521,0.58902836021285,4.05324397783237,5.05122746507031e-05,0.0382569046631528
ENSG00000261226.1,RP11-830F9.7/lnc-PABPN1L-1,40.2226234609185,3.13450784268488,0.49983274890444,5.10072188801759,3.38360444556934e-07,0.00135455353397414
ENSG00000183833.15,MAATS1/CFAP91,70.7369422295298,3.15632058439366,0.62995793941122,4.08173375320406,4.47009881030415e-05,0.0372696881687707
ENSG00000173898.10,SPTBN2,221.052051802498,3.36964815475654,0.634248119382477,4.39047128349037,1.131052522561e-05,0.0158477424198635
ENSG00000123700.4,KCNJ2,276.716083269942,3.41854628655387,0.618160275148626,4.58383755875059,4.56518943076853e-06,0.00852868689456177
